DISTRICT,EN,YEAR
NIDDRIE,33802,1999
NORTHCOTE,35965,1999
OAKLEIGH,34347,1999
PAKENHAM,35194,1999
PASCOE VALE,31045,1999
POLWARTH,33217,1999
PORTLAND,29156,1999
PRAHRAN,39089,1999
PRESTON,33794,1999
RICHMOND,41466,1999
RIPON,31732,1999
RODNEY,32526,1999
SANDRINGHAM,34629,1999
SEYMOUR,35717,1999
SHEPPARTON,33823,1999
SOUTH BARWON,36107,1999
SPRINGVALE,35438,1999
SUNSHINE,38506,1999
SWAN HILL,30088,1999
THOMASTOWN,35416,1999
TULLAMARINE,39652,1999
WANTIRNA,37964,1999
WARRANDYTE,34386,1999
WARRNAMBOOL,34226,1999
WERRIBEE,41644,1999
WILLIAMSTOWN,34501,1999
WIMMERA,32652,1999
YAN YEAN,38305,1999
ALBERT PARK,38726,2002
ALTONA,35773,2002
BALLARAT EAST,36480,2002
BALLARAT WEST,39714,2002
BASS,35258,2002
BAYSWATER,36316,2002
BELLARINE,38583,2002
BENALLA,34690,2002
BENAMBRA,34122,2002
BENDIGO EAST,35520,2002
BENDIGO WEST,38420,2002
BENTLEIGH,36801,2002
BOX HILL,37475,2002
BRIGHTON,36505,2002
BROADMEADOWS,37422,2002
BRUNSWICK,37972,2002
BULLEEN,34839,2002
BUNDOORA,35029,2002
BURWOOD,37923,2002
CARRUM,38869,2002
CAULFIELD,36314,2002
CLAYTON,34674,2002
CRANBOURNE,34009,2002
DANDENONG,35517,2002
DERRIMUT,34611,2002
DONCASTER,35426,2002
ELTHAM,37879,2002
ESSENDON,37369,2002
EVELYN,36974,2002
FERNTREE GULLY,38626,2002
FOOTSCRAY,37412,2002
FOREST HILL,37492,2002
FRANKSTON,36523,2002
GEELONG,38480,2002
GEMBROOK,34586,2002
GIPPSLAND EAST,37475,2002
GIPPSLAND SOUTH,36510,2002
HASTINGS,37635,2002
HAWTHORN,36951,2002
IVANHOE,37277,2002
KEILOR,37980,2002
KEW,35456,2002
KILSYTH,37783,2002
KOROROIT,35235,2002
LARA,38724,2002
LOWAN,38381,2002
LYNDHURST,34760,2002
MACEDON,39152,2002
MALVERN,36655,2002
MELBOURNE,33859,2002
MELTON,35458,2002
MILDURA,36098,2002
MILL PARK,35926,2002
MITCHAM,36672,2002
MONBULK,36119,2002
MORDIALLOC,37617,2002
MORNINGTON,34532,2002
MORWELL,36042,2002
MOUNT WAVERLEY,36752,2002
MULGRAVE,34337,2002
MURRAY VALLEY,35081,2002
NARRACAN,37315,2002
WARREN NORTH,35036,2002
WARREN SOUTH,37578,2002
NEPEAN,36176,2002
NIDDRIE,36896,2002
NORTHCOTE,37722,2002
OAKLEIGH,34995,2002
PASCOE VALE,37634,2002
POLWARTH,39179,2002
PRAHRAN,36856,2002
PRESTON,38208,2002
RICHMOND,37052,2002
RIPON,36044,2002
RODNEY,35177,2002
SANDRINGHAM,36083,2002
SCORESBY,37667,2002
SEYMOUR,35561,2002
SHEPPARTON,35754,2002
SOUTH BARWON,39290,2002
SOUTH WEST COAST,40115,2002
SWAN HILL,34662,2002
TARNEIT,37135,2002
THOMASTOWN,38102,2002
WARRANDYTE,39069,2002
WILLIAMSTOWN,37526,2002
YAN YEAN,34895,2002
YUROKE,35943,2002
ALBERT PARK,43926,2006
ALTONA,41888,2006
BALLARAT EAST,37648,2006
BALLARAT WEST,41283,2006
BASS,39847,2006
BAYSWATER,36321,2006
BELLARINE,40888,2006
BENALLA,35788,2006
BENAMBRA,35224,2006
BENDIGO EAST,38000,2006
BENDIGO WEST,39557,2006
BENTLEIGH,37250,2006
BOX HILL,37970,2006
BRIGHTON,36932,2006
BROADMEADOWS,36713,2006
BRUNSWICK,39734,2006
BULLEEN,34692,2006
BUNDOORA,35354,2006
BURWOOD,38284,2006
CARRUM,39516,2006
CAULFIELD,36491,2006
CLAYTON,33398,2006
CRANBOURNE,40541,2006
DANDENONG,34489,2006
DERRIMUT,35906,2006
DONCASTER,35524,2006
ELTHAM,38242,2006
ESSENDON,37601,2006
EVELYN,37693,2006
FERNTREE GULLY,40994,2006
FOOTSCRAY,37293,2006
FOREST HILL,36669,2006
FRANKSTON,35465,2006
GEELONG,39307,2006
GEMBROOK,38722,2006
GIPPSLAND EAST,39024,2006
GIPPSLAND SOUTH,37314,2006
HASTINGS,39913,2006
HAWTHORN,38017,2006
IVANHOE,37162,2006
KEILOR,46060,2006
KEW,36049,2006
KILSYTH,38358,2006
KOROROIT,38186,2006
LARA,40485,2006
LOWAN,38181,2006
LYNDHURST,36605,2006
MACEDON,42700,2006
MALVERN,37452,2006
MELBOURNE,38853,2006
MELTON,38693,2006
MILDURA,36320,2006
MILL PARK,38365,2006
MITCHAM,36374,2006
MONBULK,36262,2006
MORDIALLOC,39249,2006
MORNINGTON,36934,2006
MORWELL,36667,2006
MOUNT WAVERLEY,36604,2006
MULGRAVE,33982,2006
MURRAY VALLEY,36739,2006
NARRACAN,38846,2006
WARREN NORTH,37223,2006
WARREN SOUTH,45871,2006
NEPEAN,36451,2006
NIDDRIE,36148,2006
NORTHCOTE,38584,2006
OAKLEIGH,34478,2006
PASCOE VALE,38591,2006
POLWARTH,40403,2006
PRAHRAN,38332,2006
PRESTON,37858,2006
RICHMOND,38941,2006
RIPON,36473,2006
RODNEY,35652,2006
SANDRINGHAM,36376,2006
SCORESBY,38226,2006
SEYMOUR,38112,2006
SHEPPARTON,36206,2006
SOUTH BARWON,43002,2006
SOUTH WEST COAST,41338,2006
SWAN HILL,33731,2006
TARNEIT,41235,2006
THOMASTOWN,36458,2006
WARRANDYTE,39590,2006
WILLIAMSTOWN,37437,2006
YAN YEAN,41083,2006
YUROKE,41502,2006
ALBERT PARK,47148,2010
ALTONA,51138,2010
BALLARAT EAST,40578,2010
BALLARAT WEST,43964,2010
BASS,49279,2010
BAYSWATER,36321,2010
BELLARINE,44369,2010
BENALLA,36987,2010
BENAMBRA,37242,2010
BENDIGO EAST,40730,2010
BENDIGO WEST,41682,2010
BENTLEIGH,38715,2010
BOX HILL,38898,2010
BRIGHTON,38366,2010
BROADMEADOWS,37424,2010
BRUNSWICK,42321,2010
BULLEEN,35488,2010
BUNDOORA,36644,2010
BURWOOD,38951,2010
CARRUM,42415,2010
CAULFIELD,37692,2010
CLAYTON,33843,2010
CRANBOURNE,48076,2010
DANDENONG,35535,2010
DERRIMUT,40846,2010
DONCASTER,36523,2010
ELTHAM,39389,2010
ESSENDON,39853,2010
EVELYN,40186,2010
FERNTREE GULLY,44213,2010
FOOTSCRAY,40289,2010
FOREST HILL,36414,2010
FRANKSTON,36328,2010
GEELONG,40062,2010
GEMBROOK,43410,2010
GIPPSLAND EAST,41418,2010
GIPPSLAND SOUTH,39215,2010
HASTINGS,45194,2010
HAWTHORN,38753,2010
IVANHOE,38781,2010
KEILOR,52853,2010
KEW,36904,2010
KILSYTH,40627,2010
KOROROIT,42497,2010
LARA,44088,2010
LOWAN,38478,2010
LYNDHURST,41578,2010
MACEDON,47847,2010
MALVERN,37798,2010
MELBOURNE,43916,2010
MELTON,43639,2010
MILDURA,37638,2010
MILL PARK,41032,2010
MITCHAM,37054,2010
MONBULK,37887,2010
MORDIALLOC,41690,2010
MORNINGTON,40195,2010
MORWELL,38648,2010
MOUNT WAVERLEY,36917,2010
MULGRAVE,34995,2010
MURRAY VALLEY,38342,2010
NARRACAN,42337,2010
WARREN NORTH,40203,2010
WARREN SOUTH,52340,2010
NEPEAN,39050,2010
NIDDRIE,36805,2010
NORTHCOTE,40423,2010
OAKLEIGH,35602,2010
PASCOE VALE,40763,2010
POLWARTH,42079,2010
PRAHRAN,39257,2010
PRESTON,38662,2010
RICHMOND,42025,2010
RIPON,37619,2010
RODNEY,36437,2010
SANDRINGHAM,37827,2010
SCORESBY,39121,2010
SEYMOUR,41103,2010
SHEPPARTON,38136,2010
SOUTH BARWON,48309,2010
SOUTH WEST COAST,43344,2010
SWAN HILL,33073,2010
TARNEIT,47784,2010
THOMASTOWN,36853,2010
WARRANDYTE,41472,2010
WILLIAMSTOWN,38966,2010
YAN YEAN,54134,2010
YUROKE,48425,2010
ALBERT PARK,43134,2014
ALTONA,48044,2014
BASS,44492,2014
BAYSWATER,42719,2014
BELLARINE,42541,2014
BENAMBRA,44259,2014
BENDIGO EAST,43982,2014
BENDIGO WEST,42505,2014
BENTLEIGH,40981,2014
BOX HILL,43389,2014
BRIGHTON,42924,2014
BROADMEADOWS,41717,2014
BRUNSWICK,46954,2014
BULLEEN,44072,2014
BUNDOORA,39435,2014
BUNINYONG,40891,2014
BURWOOD,41878,2014
CARRUM,44578,2014
CAULFIELD,41992,2014
CLARINDA,43698,2014
CRANBOURNE,45863,2014
CROYDON,40730,2014
DANDENONG,41199,2014
EILDON,41479,2014
ELTHAM,44409,2014
ESSENDON,44129,2014
EUROA,45847,2014
EVELYN,40174,2014
FERNTREE GULLY,40780,2014
FOOTSCRAY,46116,2014
FOREST HILL,40991,2014
FRANKSTON,41747,2014
GEELONG,45026,2014
GEMBROOK,42239,2014
GIPPSLAND EAST,43113,2014
GIPPSLAND SOUTH,40241,2014
HASTINGS,47150,2014
HAWTHORN,42149,2014
IVANHOE,44336,2014
KEW,43898,2014
KEYSBOROUGH,42831,2014
KOROROIT,46173,2014
LARA,43000,2014
LOWAN,42797,2014
MACEDON,41580,2014
MALVERN,40708,2014
MELBOURNE,43801,2014
MELTON,44915,2014
MILDURA,42452,2014
MILL PARK,42969,2014
MONBULK,41906,2014
MORDIALLOC,43607,2014
MORNINGTON,43622,2014
MORWELL,45409,2014
MOUNT WAVERLEY,39993,2014
MULGRAVE,40682,2014
MURRAY PLAINS,45327,2014
NARRACAN,46055,2014
WARREN NORTH,43281,2014
WARREN SOUTH,45818,2014
NEPEAN,44669,2014
NIDDRIE,42548,2014
NORTHCOTE,44273,2014
OAKLEIGH,39556,2014
OVENS VALLEY,41110,2014
PASCOE VALE,45879,2014
POLWARTH,43277,2014
PRAHRAN,44075,2014
PRESTON,42297,2014
RICHMOND,46690,2014
RINGWOOD,40419,2014
RIPON,45147,2014
ROWVILLE,38834,2014
SANDRINGHAM,41456,2014
SHEPPARTON,46190,2014
SOUTH BARWON,44738,2014
SOUTH WEST COAST,44766,2014
ST ALBANS,46041,2014
SUNBURY,41877,2014
SYDENHAM,45303,2014
TARNEIT,43971,2014
THOMASTOWN,39826,2014
WARRANDYTE,43008,2014
WENDOUREE,40549,2014
WERRIBEE,41377,2014
WILLIAMSTOWN,47162,2014
YAN YEAN,44963,2014
YUROKE,43811,2014
ALBERT PARK,48949,2018
ALTONA,55418,2018
BASS,58325,2018
BAYSWATER,44047,2018
BELLARINE,49417,2018
BENAMBRA,48795,2018
BENDIGO EAST,48899,2018
BENDIGO WEST,45324,2018
BENTLEIGH,42772,2018
BOX HILL,43983,2018
BRIGHTON,45224,2018
BROADMEADOWS,43657,2018
BRUNSWICK,53340,2018
BULLEEN,44110,2018
BUNDOORA,40892,2018
BUNINYONG,45559,2018
BURWOOD,43169,2018
CARRUM,48726,2018
CAULFIELD,45222,2018
CLARINDA,44462,2018
CRANBOURNE,61814,2018
CROYDON,42995,2018
DANDENONG,42361,2018
EILDON,44881,2018
ELTHAM,44820,2018
ESSENDON,48427,2018
EUROA,49251,2018
EVELYN,43159,2018
FERNTREE GULLY,41141,2018
FOOTSCRAY,51602,2018
FOREST HILL,39083,2018
FRANKSTON,44458,2018
GEELONG,47575,2018
GEMBROOK,51069,2018
GIPPSLAND EAST,46335,2018
GIPPSLAND SOUTH,42564,2018
HASTINGS,51388,2018
HAWTHORN,44828,2018
IVANHOE,46777,2018
KEW,44262,2018
KEYSBOROUGH,45327,2018
KOROROIT,51161,2018
LARA,47026,2018
LOWAN,43436,2018
MACEDON,45491,2018
MALVERN,42898,2018
MELBOURNE,50393,2018
MELTON,53306,2018
MILDURA,44401,2018
MILL PARK,46475,2018
MONBULK,43324,2018
MORDIALLOC,46041,2018
MORNINGTON,47184,2018
MORWELL,48406,2018
MOUNT WAVERLEY,38937,2018
MULGRAVE,40588,2018
MURRAY PLAINS,46924,2018
NARRACAN,52203,2018
WARREN NORTH,44724,2018
WARREN SOUTH,49506,2018
NEPEAN,49653,2018
NIDDRIE,44716,2018
NORTHCOTE,48831,2018
OAKLEIGH,41595,2018
OVENS VALLEY,43200,2018
PASCOE VALE,51163,2018
POLWARTH,45895,2018
PRAHRAN,50373,2018
PRESTON,45253,2018
RICHMOND,54680,2018
RINGWOOD,41299,2018
RIPON,47774,2018
ROWVILLE,39893,2018
SANDRINGHAM,45020,2018
SHEPPARTON,48765,2018
SOUTH BARWON,54245,2018
SOUTH WEST COAST,47500,2018
ST ALBANS,46678,2018
SUNBURY,45588,2018
SYDENHAM,50841,2018
TARNEIT,53882,2018
THOMASTOWN,44619,2018
WARRANDYTE,43282,2018
WENDOUREE,43575,2018
WERRIBEE,46282,2018
WILLIAMSTOWN,50919,2018
YAN YEAN,58159,2018
YUROKE,58068,2018
