DISTRICT,EN,YEAR
SWAN HILL,9978,1911
TOORAK,18576,1911
UPPER GOULBURN,7786,1911
WALHALLA,5951,1911
WANGARATTA,8088,1911
WARANGA,7176,1911
WARRENHEIP,5793,1911
WARRNAMBOOL,8668,1911
WILLIAMSTOWN,16077,1911
ABBOTSFORD,16269,1914
ALBERT PARK,20246,1914
ALLANDALE,6321,1914
BALLARAT EAST,10994,1914
BALLARAT WEST,10706,1914
BARWON,11324,1914
BENALLA,8094,1914
BENAMBRA,7190,1914
BENDIGO EAST,9439,1914
BENDIGO WEST,10477,1914
BOROONDARA,29974,1914
BORUNG,7765,1914
BRIGHTON,18074,1914
BRUNSWICK,21710,1914
BULLA,10852,1914
CARLTON,14463,1914
CASTLEMAINE AND MALDON,7363,1914
COLLINGWOOD,14561,1914
DALHOUSIE,7443,1914
DANDENONG,13903,1914
DAYLESFORD,7213,1914
DUNDAS,8801,1914
EAGLEHAWK,8029,1914
EAST MELBOURNE,13323,1914
ESSENDON,25295,1914
EVELYN,10401,1914
FITZROY,15059,1914
FLEMINGTON,20194,1914
GEELONG,14058,1914
GIPPSLAND EAST,6710,1914
GIPPSLAND NORTH,9404,1914
GIPPSLAND SOUTH,9978,1914
GIPPSLAND WEST,8583,1914
GLENELG,9307,1914
GOULBURN VALLEY,9213,1914
GRENVILLE,6287,1914
GUNBOWER,8628,1914
HAMPDEN,12266,1914
HAWTHORN,24076,1914
JIKA JIKA,25462,1914
KARA KARA,7458,1914
KORONG,7202,1914
LOWAN,9335,1914
MARYBOROUGH,7912,1914
MELBOURNE,10104,1914
MORNINGTON,13697,1914
NORTH MELBOURNE,17469,1914
OVENS,6752,1914
POLWARTH,11109,1914
PORT FAIRY,7875,1914
PORT MELBOURNE,16993,1914
PRAHRAN,20275,1914
RICHMOND,17442,1914
RODNEY,10656,1914
ST KILDA,25295,1914
STAWELL AND ARARAT,9131,1914
SWAN HILL,13400,1914
TOORAK,22159,1914
UPPER GOULBURN,8233,1914
WALHALLA,6644,1914
WANGARATTA,8518,1914
WARANGA,7058,1914
WARRENHEIP,6203,1914
WARRNAMBOOL,9315,1914
WILLIAMSTOWN,20336,1914
ABBOTSFORD,15233,1917
ALBERT PARK,20885,1917
ALLANDALE,5723,1917
BALLARAT EAST,10009,1917
BALLARAT WEST,10139,1917
BARWON,11693,1917
BENALLA,7928,1917
BENAMBRA,6711,1917
BENDIGO EAST,8763,1917
BENDIGO WEST,9450,1917
BOROONDARA,39287,1917
BORUNG,7446,1917
BRIGHTON,21689,1917
BRUNSWICK,23683,1917
BULLA,11062,1917
CARLTON,13313,1917
CASTLEMAINE AND MALDON,6830,1917
COLLINGWOOD,14643,1917
DALHOUSIE,7186,1917
DANDENONG,15771,1917
DAYLESFORD,6735,1917
DUNDAS,8391,1917
EAGLEHAWK,7155,1917
EAST MELBOURNE,11772,1917
ESSENDON,25178,1917
