DISTRICT,EN,YEAR,SEATS,PROP,Category
DONALD AND SWAN HILL,33073,2010,1,33073,RURAL
MELBOURNE,21963,1952,1,21963,URBAN
DONCASTER,28436,1976,1,28436,URBAN
DONCASTER,30473,1979,1,30473,URBAN
DONCASTER,33023,1982,1,33023,URBAN
DONCASTER,28470,1985,1,28470,URBAN
DONCASTER,31165,1988,1,31165,URBAN
MORNINGTON,21208,1952,1,21208,RURAL
DONCASTER,33557,1992,1,33557,URBAN
DONCASTER,34695,1996,1,34695,URBAN
DONCASTER,35902,1999,1,35902,URBAN
POLWARTH,15350,1952,1,15350,RURAL
PORT MELBOURNE,24767,1952,1,24767,URBAN
DONCASTER,35426,2002,1,35426,URBAN
PRAHRAN,23311,1952,1,23311,URBAN
DONCASTER,35524,2006,1,35524,URBAN
DONCASTER,36523,2010,1,36523,URBAN
RICHMOND,22821,1952,1,22821,URBAN
DOVETON,29005,1985,1,29005,URBAN
RODNEY,14662,1952,1,14662,RURAL
ST KILDA,21554,1952,1,21554,URBAN
DOVETON,40202,1988,1,40202,URBAN
DROMANA,19515,1967,1,19515,URBAN
DROMANA,23027,1970,1,23027,URBAN
DROMANA,29585,1973,1,29585,URBAN
TOORAK,22902,1952,1,22902,URBAN
WARRNAMBOOL,14887,1952,1,14887,RURAL
WILLIAMSTOWN,27891,1952,1,27891,URBAN
DROMANA,28034,1976,1,28034,URBAN
ALBERT PARK,17402,1955,1,17402,URBAN
DROMANA,31823,1979,1,31823,URBAN
DROMANA,35516,1982,1,35516,URBAN
DROMANA,30105,1985,1,30105,URBAN
DROMANA,34394,1988,1,34394,URBAN
BENALLA,21115,1955,1,21115,RURAL
BENAMBRA,20430,1955,1,20430,RURAL
DROMANA,32537,1992,1,32537,URBAN
DROMANA,33917,1996,1,33917,URBAN
BRIGHTON,19332,1955,1,19332,URBAN
DROMANA,36014,1999,1,36014,URBAN
DUNOLLY,2048,1897,1,2048,URBAN
DUNOLLY,2041,1900,1,2041,URBAN
DUNOLLY,2083,1902,1,2083,URBAN
EAST BOURKE BOROUGHS,8871,1897,2,4435.5,RURAL
CARLTON,17007,1955,1,17007,URBAN
EAST BOURKE BOROUGHS,10159,1900,2,5079.5,RURAL
EAST BOURKE BOROUGHS,10624,1902,2,5312,RURAL
EASTERN SUBURBS,4904,1897,1,4904,URBAN
COLLINGWOOD,15355,1955,1,15355,URBAN
DANDENONG,36477,1955,1,36477,RURAL
DUNDAS,19146,1955,1,19146,RURAL
EASTERN SUBURBS,5199,1900,1,5199,URBAN
EVELYN,32036,1955,1,32036,RURAL
FLEMINGTON,16784,1955,1,16784,URBAN
EASTERN SUBURBS,5451,1902,1,5451,URBAN
GEELONG,23614,1955,1,23614,METRO
EILDON,41479,2014,1,41479,RURAL
GIPPSLAND EAST,19158,1955,1,19158,RURAL
GIPPSLAND SOUTH,19782,1955,1,19782,RURAL
GIPPSLAND WEST,22886,1955,1,22886,RURAL
EILDON,44881,2018,1,44881,RURAL
HAMPDEN,19641,1955,1,19641,RURAL
HAWTHORN,17734,1955,1,17734,URBAN
ELSTERNWICK,23310,1945,1,23310,URBAN
KARA KARA,18085,1955,1,18085,RURAL
ELSTERNWICK,24377,1947,1,24377,URBAN
LOWAN,17943,1955,1,17943,RURAL
ELSTERNWICK,22994,1950,1,22994,URBAN
MELBOURNE,16377,1955,1,16377,URBAN
ELSTERNWICK,21478,1952,1,21478,URBAN
ELSTERNWICK,21166,1955,1,21166,URBAN
ELSTERNWICK,21695,1958,1,21695,URBAN
ELSTERNWICK,20589,1961,1,20589,URBAN
ELSTERNWICK,20887,1964,1,20887,URBAN
MORNINGTON,24684,1955,1,24684,RURAL
ELTHAM,35275,1992,1,35275,URBAN
ELTHAM,38186,1996,1,38186,URBAN
ELTHAM,40355,1999,1,40355,URBAN
ELTHAM,37879,2002,1,37879,URBAN
ELTHAM,38242,2006,1,38242,URBAN
POLWARTH,20402,1955,1,20402,RURAL
PORT MELBOURNE,17203,1955,1,17203,URBAN
ELTHAM,39389,2010,1,39389,URBAN
PRAHRAN,18302,1955,1,18302,URBAN
ELTHAM,44409,2014,1,44409,URBAN
ELTHAM,44820,2018,1,44820,URBAN
RICHMOND,16676,1955,1,16676,URBAN
EMERALD HILL,2521,1897,1,2521,RURAL
RODNEY,21099,1955,1,21099,RURAL
ST KILDA,18521,1955,1,18521,URBAN
EMERALD HILL,2894,1900,1,2894,RURAL
EMERALD HILL,2821,1902,1,2821,RURAL
ESSENDON AND FLEMINGTON,5108,1897,1,5108,URBAN
TOORAK,18505,1955,1,18505,URBAN
WILLIAMSTOWN,19717,1955,1,19717,URBAN
ALBERT PARK,19844,1958,1,19844,URBAN
ESSENDON AND FLEMINGTON,5982,1900,1,5982,URBAN
ESSENDON AND FLEMINGTON,6914,1902,1,6914,URBAN
EUROA,45847,2014,1,45847,RURAL
BENALLA,20675,1958,1,20675,RURAL
BENAMBRA,21636,1958,1,21636,RURAL
EUROA,49251,2018,1,49251,RURAL
FERNTREE GULLY,38626,2002,1,38626,URBAN
BRIGHTON,21449,1958,1,21449,URBAN
FERNTREE GULLY,40994,2006,1,40994,URBAN
FERNTREE GULLY,44213,2010,1,44213,URBAN
FERNTREE GULLY,40780,2014,1,40780,URBAN
FERNTREE GULLY,41141,2018,1,41141,URBAN
FOOTSCRAY,3980,1894,1,3980,URBAN
FOOTSCRAY,3776,1897,1,3776,URBAN
FOOTSCRAY,4304,1900,1,4304,URBAN
DANDENONG,29072,1958,1,29072,RURAL
DUNDAS,21822,1958,1,21822,RURAL
FOOTSCRAY,4843,1902,1,4843,URBAN
ESSENDON,23052,1958,1,23052,URBAN
EVELYN,25508,1958,1,25508,RURAL
FITZROY,19456,1958,1,19456,URBAN
FLEMINGTON,19264,1958,1,19264,URBAN
FOOTSCRAY,21599,1927,1,21599,URBAN
GEELONG,21207,1958,1,21207,METRO
FOOTSCRAY,23970,1929,1,23970,URBAN
GIPPSLAND EAST,20841,1958,1,20841,RURAL
GIPPSLAND SOUTH,21889,1958,1,21889,RURAL
GIPPSLAND WEST,21924,1958,1,21924,RURAL
FOOTSCRAY,24201,1932,1,24201,URBAN
HAMPDEN,20842,1958,1,20842,RURAL
HAWTHORN,20017,1958,1,20017,URBAN
FOOTSCRAY,25398,1935,1,25398,URBAN
KARA KARA,19973,1958,1,19973,RURAL
FOOTSCRAY,26575,1937,1,26575,URBAN
LOWAN,20602,1958,1,20602,RURAL
FOOTSCRAY,28541,1940,1,28541,URBAN
MELBOURNE,18872,1958,1,18872,URBAN
FOOTSCRAY,34165,1943,1,34165,URBAN
FOOTSCRAY,25587,1945,1,25587,URBAN
FOOTSCRAY,26296,1947,1,26296,URBAN
FOOTSCRAY,25077,1950,1,25077,URBAN
FOOTSCRAY,23372,1952,1,23372,URBAN
MORNINGTON,23629,1958,1,23629,RURAL
FOOTSCRAY,19832,1955,1,19832,URBAN
FOOTSCRAY,20607,1958,1,20607,URBAN
FOOTSCRAY,20222,1961,1,20222,URBAN
FOOTSCRAY,20055,1964,1,20055,URBAN
FOOTSCRAY,24957,1967,1,24957,URBAN
FOOTSCRAY,24472,1970,1,24472,URBAN
POLWARTH,23001,1958,1,23001,RURAL
FOOTSCRAY,24789,1973,1,24789,URBAN
PRAHRAN,19767,1958,1,19767,URBAN
FOOTSCRAY,29323,1976,1,29323,URBAN
FOOTSCRAY,28052,1979,1,28052,URBAN
RICHMOND,19583,1958,1,19583,URBAN
FOOTSCRAY,28169,1982,1,28169,URBAN
FOOTSCRAY,32137,1985,1,32137,URBAN
RODNEY,21542,1958,1,21542,RURAL
ST KILDA,20183,1958,1,20183,URBAN
FOOTSCRAY,31452,1988,1,31452,URBAN
FOOTSCRAY,32631,1992,1,32631,URBAN
FOOTSCRAY,33297,1996,1,33297,URBAN
TOORAK,19452,1958,1,19452,URBAN
WILLIAMSTOWN,20110,1958,1,20110,URBAN
FOOTSCRAY,34174,1999,1,34174,URBAN
ALBERT PARK,17415,1961,1,17415,URBAN
FOOTSCRAY,37412,2002,1,37412,URBAN
FOOTSCRAY,37293,2006,1,37293,URBAN
FOOTSCRAY,40289,2010,1,40289,URBAN
BENALLA,20915,1961,1,20915,RURAL
BENAMBRA,23039,1961,1,23039,RURAL
FOOTSCRAY,46116,2014,1,46116,URBAN
FOOTSCRAY,51602,2018,1,51602,URBAN
BRIGHTON,20878,1961,1,20878,URBAN
FOREST HILL,29761,1976,1,29761,URBAN
FOREST HILL,31724,1979,1,31724,URBAN
FOREST HILL,33778,1982,1,33778,URBAN
FOREST HILL,29219,1985,1,29219,URBAN
FOREST HILL,30545,1988,1,30545,URBAN
FOREST HILL,33378,1992,1,33378,URBAN
FOREST HILL,33610,1996,1,33610,URBAN
DANDENONG,37575,1961,1,37575,RURAL
DUNDAS,21766,1961,1,21766,RURAL
FOREST HILL,33431,1999,1,33431,URBAN
ESSENDON,24434,1961,1,24434,URBAN
EVELYN,30817,1961,1,30817,RURAL
FITZROY,17203,1961,1,17203,URBAN
FLEMINGTON,18471,1961,1,18471,URBAN
FOREST HILL,37492,2002,1,37492,URBAN
GEELONG,21758,1961,1,21758,METRO
FOREST HILL,36669,2006,1,36669,URBAN
GIPPSLAND EAST,21537,1961,1,21537,RURAL
GIPPSLAND SOUTH,23424,1961,1,23424,RURAL
GIPPSLAND WEST,22382,1961,1,22382,RURAL
FOREST HILL,36414,2010,1,36414,URBAN
HAMPDEN,20975,1961,1,20975,RURAL
HAWTHORN,18722,1961,1,18722,URBAN
FOREST HILL,40991,2014,1,40991,URBAN
KARA KARA,19521,1961,1,19521,RURAL
FOREST HILL,39083,2018,1,39083,URBAN
LOWAN,20793,1961,1,20793,RURAL
FRANKSTON,29381,1967,1,29381,URBAN
MELBOURNE,15758,1961,1,15758,URBAN
FRANKSTON,36809,1970,1,36809,URBAN
FRANKSTON,48210,1973,1,48210,URBAN
FRANKSTON,30198,1976,1,30198,URBAN
FRANKSTON,32904,1979,1,32904,URBAN
FRANKSTON,35899,1982,1,35899,URBAN
MORNINGTON,28189,1961,1,28189,RURAL
FRANKSTON,31766,1992,1,31766,URBAN
FRANKSTON,32410,1996,1,32410,URBAN
FRANKSTON,33431,1999,1,33431,URBAN
FRANKSTON,36523,2002,1,36523,URBAN
FRANKSTON,35465,2006,1,35465,URBAN
FRANKSTON,36328,2010,1,36328,URBAN
POLWARTH,24794,1961,1,24794,RURAL
FRANKSTON,41747,2014,1,41747,URBAN
PRAHRAN,18295,1961,1,18295,URBAN
FRANKSTON,44458,2018,1,44458,URBAN
FRANKSTON EAST,29060,1992,1,29060,URBAN
RICHMOND,17634,1961,1,17634,URBAN
FRANKSTON EAST,28976,1996,1,28976,URBAN
FRANKSTON EAST,28877,1999,1,28877,URBAN
RODNEY,22401,1961,1,22401,RURAL
ST KILDA,18580,1961,1,18580,URBAN
FRANKSTON NORTH,29857,1985,1,29857,URBAN
FRANKSTON NORTH,31358,1988,1,31358,URBAN
FRANKSTON SOUTH,29492,1985,1,29492,URBAN
TOORAK,18757,1961,1,18757,URBAN
WILLIAMSTOWN,19193,1961,1,19193,URBAN
FRANKSTON SOUTH,31440,1988,1,31440,URBAN
ALBERT PARK,16223,1964,1,16223,URBAN
GEELONG EAST,24837,1976,1,24837,URBAN
GEELONG EAST,26575,1979,1,26575,URBAN
GEELONG EAST,27859,1982,1,27859,URBAN
BENALLA,21091,1964,1,21091,RURAL
BENAMBRA,23895,1964,1,23895,RURAL
GEELONG NORTH,23582,1967,1,23582,URBAN
GEELONG NORTH,25206,1970,1,25206,URBAN
BRIGHTON,21133,1964,1,21133,URBAN
GEELONG NORTH,28721,1973,1,28721,URBAN
GEELONG NORTH,25121,1976,1,25121,URBAN
GEELONG NORTH,28355,1979,1,28355,URBAN
GEELONG NORTH,30338,1982,1,30338,URBAN
GEELONG NORTH,29236,1985,1,29236,URBAN
GEELONG NORTH,30853,1988,1,30853,URBAN
GEELONG NORTH,32908,1992,1,32908,URBAN
DANDENONG,45070,1964,1,45070,RURAL
DUNDAS,21644,1964,1,21644,RURAL
GEELONG NORTH,33570,1996,1,33570,URBAN
ESSENDON,25421,1964,1,25421,URBAN
EVELYN,35240,1964,1,35240,RURAL
FITZROY,16093,1964,1,16093,URBAN
FLEMINGTON,18402,1964,1,18402,URBAN
GEELONG NORTH,34379,1999,1,34379,URBAN
GEELONG,22523,1964,1,22523,METRO
GEELONG WEST,23701,1955,1,23701,URBAN
GIPPSLAND EAST,21857,1964,1,21857,RURAL
GIPPSLAND SOUTH,24775,1964,1,24775,RURAL
GIPPSLAND WEST,22861,1964,1,22861,RURAL
GEELONG WEST,23172,1958,1,23172,URBAN
HAMPDEN,21137,1964,1,21137,RURAL
HAWTHORN,18558,1964,1,18558,URBAN
GEELONG WEST,25869,1961,1,25869,URBAN
KARA KARA,19409,1964,1,19409,RURAL
GEELONG WEST,28186,1964,1,28186,URBAN
LOWAN,21134,1964,1,21134,RURAL
GEELONG WEST,25584,1976,1,25584,URBAN
MELBOURNE,14228,1964,1,14228,URBAN
GEELONG WEST,25968,1979,1,25968,URBAN
GEELONG WEST,25794,1982,1,25794,URBAN
GEMBROOK,34586,2002,1,34586,URBAN
GEMBROOK,38722,2006,1,38722,URBAN
GEMBROOK,43410,2010,1,43410,URBAN
MORNINGTON,33536,1964,1,33536,RURAL
GEMBROOK,42239,2014,1,42239,URBAN
GEMBROOK,51069,2018,1,51069,URBAN
GIPPSLAND CENTRAL,2761,1894,1,2761,RURAL
GIPPSLAND CENTRAL,2907,1897,1,2907,RURAL
GIPPSLAND CENTRAL,3284,1900,1,3284,RURAL
GIPPSLAND CENTRAL,3194,1902,1,3194,RURAL
POLWARTH,26603,1964,1,26603,RURAL
GISBORNE,19902,1967,1,19902,URBAN
PRAHRAN,18283,1964,1,18283,URBAN
GISBORNE,24174,1970,1,24174,URBAN
GISBORNE,34656,1973,1,34656,URBAN
RICHMOND,16164,1964,1,16164,URBAN
GISBORNE,27076,1976,1,27076,URBAN
GISBORNE,32026,1979,1,32026,URBAN
RODNEY,23352,1964,1,23352,RURAL
ST KILDA,18561,1964,1,18561,URBAN
GISBORNE,36125,1982,1,36125,URBAN
GISBORNE,30619,1985,1,30619,URBAN
GISBORNE,33163,1988,1,33163,URBAN
TOORAK,18921,1964,1,18921,URBAN
WILLIAMSTOWN,18504,1964,1,18504,URBAN
GISBORNE,31646,1992,1,31646,URBAN
ALBERT PARK,24061,1967,1,24061,URBAN
GISBORNE,33807,1996,1,33807,URBAN
GISBORNE,36390,1999,1,36390,URBAN
GLEN IRIS,23592,1945,1,23592,URBAN
GLEN IRIS,25022,1947,1,25022,URBAN
BENALLA,17939,1967,1,17939,RURAL
BENAMBRA,18579,1967,1,18579,RURAL
GLEN IRIS,26441,1950,1,26441,URBAN
GLEN IRIS,28965,1952,1,28965,URBAN
GLEN IRIS,25129,1967,1,25129,URBAN
GLEN IRIS,24992,1970,1,24992,URBAN
BRIGHTON,24998,1967,1,24998,URBAN
GLEN IRIS,26543,1973,1,26543,URBAN
GLEN WAVERLEY,29478,1985,1,29478,URBAN
GLEN WAVERLEY,31452,1988,1,31452,URBAN
GLEN WAVERLEY,31839,1992,1,31839,URBAN
GLEN WAVERLEY,31883,1996,1,31883,URBAN
GLEN WAVERLEY,31984,1999,1,31984,URBAN
DANDENONG,26701,1967,1,26701,RURAL
GLENHUNTLY,26067,1967,1,26067,URBAN
GLENHUNTLY,27796,1970,1,27796,URBAN
DUNDAS,18449,1967,1,18449,RURAL
ESSENDON,25508,1967,1,25508,URBAN
EVELYN,19763,1967,1,19763,RURAL
GLENHUNTLY,29421,1973,1,29421,URBAN
GLENHUNTLY,28395,1976,1,28395,URBAN
GEELONG,22503,1967,1,22503,METRO
GLENHUNTLY,26622,1979,1,26622,URBAN
GIPPSLAND EAST,18687,1967,1,18687,RURAL
GIPPSLAND SOUTH,18788,1967,1,18788,RURAL
GIPPSLAND WEST,18076,1967,1,18076,RURAL
GLENHUNTLY,26807,1982,1,26807,URBAN
GLENROY,27798,1976,1,27798,URBAN
GLENROY,27615,1979,1,27615,URBAN
GLENROY,28040,1982,1,28040,URBAN
HAMPDEN,18078,1967,1,18078,RURAL
HAWTHORN,24932,1967,1,24932,URBAN
GOULBURN,12646,1945,1,12646,RURAL
GOULBURN,13401,1947,1,13401,RURAL
KARA KARA,17343,1967,1,17343,RURAL
GOULBURN,13779,1950,1,13779,RURAL
LOWAN,18770,1967,1,18770,RURAL
GOULBURN,14640,1952,1,14640,RURAL
MELBOURNE,25897,1967,1,25897,URBAN
GRANT,2549,1894,1,2549,RURAL
GRANT,2347,1897,1,2347,RURAL
GRANT,2424,1900,1,2424,RURAL
GRANT,2447,1902,1,2447,RURAL
GRANT,9172,1927,1,9172,RURAL
GRANT,9700,1929,1,9700,RURAL
GRANT,9825,1932,1,9825,RURAL
GRANT,10206,1935,1,10206,RURAL
GRANT,10482,1937,1,10482,RURAL
GRANT,10585,1940,1,10585,RURAL
GRANT,11708,1943,1,11708,RURAL
GRANT,14739,1945,1,14739,RURAL
POLWARTH,17764,1967,1,17764,RURAL
GRANT,15122,1947,1,15122,RURAL
PRAHRAN,26053,1967,1,26053,URBAN
GRANT,16242,1950,1,16242,RURAL
GRANT,19336,1952,1,19336,RURAL
RICHMOND,23610,1967,1,23610,URBAN
GRANT,29872,1955,1,29872,RURAL
RODNEY,18662,1967,1,18662,RURAL
ST KILDA,26927,1967,1,26927,URBAN
GRANT,29527,1958,1,29527,RURAL
GRANT,36649,1961,1,36649,RURAL
GRANT,46160,1964,1,46160,RURAL
GREENSBOROUGH,29152,1967,1,29152,URBAN
GREENSBOROUGH,36330,1970,1,36330,URBAN
GREENSBOROUGH,47475,1973,1,47475,URBAN
WARRNAMBOOL,18674,1967,1,18674,RURAL
WILLIAMSTOWN,26582,1967,1,26582,URBAN
ALBERT PARK,22740,1970,1,22740,URBAN
GREENSBOROUGH,30397,1976,1,30397,URBAN
GREENSBOROUGH,34703,1979,1,34703,URBAN
GREENSBOROUGH,39109,1982,1,39109,URBAN
GREENSBOROUGH,28966,1985,1,28966,URBAN
BENALLA,18504,1970,1,18504,RURAL
BENAMBRA,19016,1970,1,19016,RURAL
GREENSBOROUGH,32618,1988,1,32618,URBAN
HASTINGS,37635,2002,1,37635,URBAN
HASTINGS,39913,2006,1,39913,URBAN
HASTINGS,45194,2010,1,45194,URBAN
BRIGHTON,24721,1970,1,24721,URBAN
HASTINGS,47150,2014,1,47150,URBAN
HASTINGS,51388,2018,1,51388,URBAN
HEATHERTON,26832,1967,1,26832,URBAN
HEATHERTON,32629,1970,1,32629,URBAN
HEATHERTON,41119,1973,1,41119,URBAN
HEATHERTON,29008,1976,1,29008,URBAN
DANDENONG,32802,1970,1,32802,RURAL
HEATHERTON,30909,1979,1,30909,URBAN
HEATHERTON,32746,1982,1,32746,URBAN
DUNDAS,18433,1970,1,18433,RURAL
ESSENDON,26398,1970,1,26398,URBAN
EVELYN,21211,1970,1,21211,RURAL
HEIDELBERG,21954,1927,1,21954,URBAN
HEIDELBERG,25525,1929,1,25525,URBAN
GEELONG,23051,1970,1,23051,METRO
HEIDELBERG,27059,1932,1,27059,URBAN
GIPPSLAND EAST,19368,1970,1,19368,RURAL
GIPPSLAND SOUTH,19770,1970,1,19770,RURAL
GIPPSLAND WEST,18666,1970,1,18666,RURAL
HEIDELBERG,27962,1935,1,27962,URBAN
HEIDELBERG,29703,1937,1,29703,URBAN
HEIDELBERG,32065,1940,1,32065,URBAN
HEIDELBERG,37373,1943,1,37373,URBAN
HAMPDEN,17990,1970,1,17990,RURAL
HAWTHORN,24964,1970,1,24964,URBAN
HORSHAM,2012,1894,1,2012,RURAL
HORSHAM,1906,1897,1,1906,RURAL
KARA KARA,16875,1970,1,16875,RURAL
HORSHAM,2056,1900,1,2056,RURAL
LOWAN,18553,1970,1,18553,RURAL
HORSHAM,1944,1902,1,1944,RURAL
MELBOURNE,24656,1970,1,24656,URBAN
IVANHOE,23367,1945,1,23367,URBAN
IVANHOE,26359,1947,1,26359,URBAN
IVANHOE,30895,1950,1,30895,URBAN
IVANHOE,36145,1952,1,36145,URBAN
IVANHOE,19284,1955,1,19284,URBAN
IVANHOE,23649,1958,1,23649,URBAN
IVANHOE,23626,1961,1,23626,URBAN
IVANHOE,23700,1964,1,23700,URBAN
IVANHOE,25912,1967,1,25912,URBAN
IVANHOE,26654,1970,1,26654,URBAN
IVANHOE,28776,1973,1,28776,URBAN
IVANHOE,30856,1976,1,30856,URBAN
POLWARTH,18320,1970,1,18320,RURAL
IVANHOE,30459,1979,1,30459,URBAN
PRAHRAN,25827,1970,1,25827,URBAN
IVANHOE,30849,1982,1,30849,URBAN
IVANHOE,31067,1985,1,31067,URBAN
RICHMOND,21339,1970,1,21339,URBAN
IVANHOE,30622,1988,1,30622,URBAN
RODNEY,19245,1970,1,19245,RURAL
ST KILDA,25768,1970,1,25768,URBAN
IVANHOE,32763,1992,1,32763,URBAN
IVANHOE,32883,1996,1,32883,URBAN
IVANHOE,33205,1999,1,33205,URBAN
IVANHOE,37277,2002,1,37277,URBAN
IVANHOE,37162,2006,1,37162,URBAN
IVANHOE,38781,2010,1,38781,URBAN
WARRNAMBOOL,19091,1970,1,19091,RURAL
WILLIAMSTOWN,28171,1970,1,28171,URBAN
ALBERT PARK,22662,1973,1,22662,URBAN
IVANHOE,44336,2014,1,44336,URBAN
IVANHOE,46777,2018,1,46777,URBAN
KARA KARA AND BORUNG,10535,1927,1,10535,RURAL
KARA KARA AND BORUNG,10916,1929,1,10916,RURAL
BENALLA,19885,1973,1,19885,RURAL
BENAMBRA,20866,1973,1,20866,RURAL
KARA KARA AND BORUNG,10502,1932,1,10502,RURAL
KARA KARA AND BORUNG,11130,1935,1,11130,RURAL
KARA KARA AND BORUNG,11057,1937,1,11057,RURAL
KARA KARA AND BORUNG,10788,1940,1,10788,RURAL
BRIGHTON,25865,1973,1,25865,URBAN
KARA KARA AND BORUNG,9620,1943,1,9620,RURAL
KEILOR,28973,1976,1,28973,URBAN
KEILOR,35783,1979,1,35783,URBAN
KEILOR,43346,1982,1,43346,URBAN
KEILOR,29671,1985,1,29671,URBAN
KEILOR,36950,1988,1,36950,URBAN
DANDENONG,43253,1973,1,43253,RURAL
KEILOR,33939,1992,1,33939,URBAN
KEILOR,38163,1996,1,38163,URBAN
DUNDAS,19231,1973,1,19231,RURAL
ESSENDON,29556,1973,1,29556,URBAN
EVELYN,25863,1973,1,25863,RURAL
KEILOR,42091,1999,1,42091,URBAN
KEILOR,37980,2002,1,37980,URBAN
GEELONG,25651,1973,1,25651,METRO
KEILOR,46060,2006,1,46060,URBAN
GIPPSLAND EAST,21039,1973,1,21039,RURAL
GIPPSLAND SOUTH,22106,1973,1,22106,RURAL
GIPPSLAND WEST,20882,1973,1,20882,RURAL
KEILOR,52853,2010,1,52853,URBAN
KEW,21610,1927,1,21610,URBAN
KEW,23742,1929,1,23742,URBAN
KEW,24942,1932,1,24942,URBAN
HAMPDEN,18886,1973,1,18886,RURAL
HAWTHORN,27479,1973,1,27479,URBAN
KEW,25694,1935,1,25694,URBAN
KEW,27563,1937,1,27563,URBAN
KARA KARA,17649,1973,1,17649,RURAL
KEW,29679,1940,1,29679,URBAN
LOWAN,19483,1973,1,19483,RURAL
KEW,34589,1943,1,34589,URBAN
MELBOURNE,26740,1973,1,26740,URBAN
KEW,25253,1945,1,25253,URBAN
KEW,26020,1947,1,26020,URBAN
KEW,24112,1950,1,24112,URBAN
KEW,22713,1952,1,22713,URBAN
KEW,22068,1955,1,22068,URBAN
KEW,21858,1958,1,21858,URBAN
KEW,21462,1961,1,21462,URBAN
KEW,21403,1964,1,21403,URBAN
KEW,25630,1967,1,25630,URBAN
KEW,25807,1970,1,25807,URBAN
KEW,27988,1973,1,27988,URBAN
KEW,29690,1976,1,29690,URBAN
POLWARTH,19961,1973,1,19961,RURAL
KEW,29065,1979,1,29065,URBAN
PRAHRAN,27715,1973,1,27715,URBAN
KEW,27839,1982,1,27839,URBAN
KEW,30535,1985,1,30535,URBAN
RICHMOND,21865,1973,1,21865,URBAN
KEW,29541,1988,1,29541,URBAN
RODNEY,21133,1973,1,21133,RURAL
ST KILDA,27629,1973,1,27629,URBAN
KEW,33080,1992,1,33080,URBAN
KEW,34235,1996,1,34235,URBAN
KEW,35644,1999,1,35644,URBAN
KEW,35456,2002,1,35456,URBAN
KEW,36049,2006,1,36049,URBAN
KEW,36904,2010,1,36904,URBAN
WARRNAMBOOL,21228,1973,1,21228,RURAL
WILLIAMSTOWN,31041,1973,1,31041,URBAN
ALBERT PARK,31647,1976,1,31647,URBAN
KEW,43898,2014,1,43898,URBAN
KEW,44262,2018,1,44262,URBAN
KEYSBOROUGH,42831,2014,1,42831,URBAN
KEYSBOROUGH,45327,2018,1,45327,URBAN
BENALLA,24971,1976,1,24971,RURAL
BENAMBRA,25923,1976,1,25923,RURAL
"KILMORE, DALHOUSIE AND LANCEFIELD",1976,1894,1,1976,RURAL
"KILMORE, DALHOUSIE AND LANCEFIELD",2127,1897,1,2127,RURAL
"KILMORE, DALHOUSIE AND LANCEFIELD",2176,1900,1,2176,RURAL
"KILMORE, DALHOUSIE AND LANCEFIELD",2374,1902,1,2374,RURAL
KILSYTH,37783,2002,1,37783,URBAN
BRIGHTON,28455,1976,1,28455,URBAN
KILSYTH,38358,2006,1,38358,URBAN
BRUNSWICK,29483,1976,1,29483,URBAN
KILSYTH,40627,2010,1,40627,URBAN
KNOX,29360,1976,1,29360,URBAN
KNOX,31114,1979,1,31114,URBAN
KNOX,33774,1982,1,33774,URBAN
KNOX,27865,1985,1,27865,URBAN
DANDENONG,31367,1976,1,31367,RURAL
KNOX,29454,1988,1,29454,URBAN
KNOX,32710,1992,1,32710,URBAN
ESSENDON,28867,1976,1,28867,URBAN
EVELYN,28032,1976,1,28032,RURAL
KNOX,35772,1996,1,35772,URBAN
KNOX,39768,1999,1,39768,URBAN
KORONG AND EAGLEHAWK,10776,1927,1,10776,METRO
KORONG AND EAGLEHAWK,10820,1929,1,10820,METRO
KORONG AND EAGLEHAWK,11102,1932,1,11102,METRO
KORONG AND EAGLEHAWK,11754,1935,1,11754,METRO
GIPPSLAND EAST,25254,1976,1,25254,RURAL
GIPPSLAND SOUTH,25408,1976,1,25408,RURAL
KORONG AND EAGLEHAWK,11622,1937,1,11622,METRO
KORONG AND EAGLEHAWK,11102,1940,1,11102,METRO
KORONG AND EAGLEHAWK,10124,1943,1,10124,METRO
KOROROIT,35235,2002,1,35235,URBAN
HAWTHORN,28122,1976,1,28122,URBAN
KOROROIT,38186,2006,1,38186,URBAN
KOROROIT,42497,2010,1,42497,URBAN
KOROROIT,46173,2014,1,46173,URBAN
KOROROIT,51161,2018,1,51161,URBAN
KYNETON,1759,1894,1,1759,RURAL
LOWAN,24722,1976,1,24722,RURAL
KYNETON,2154,1897,1,2154,RURAL
MELBOURNE,29247,1976,1,29247,URBAN
KYNETON,2479,1900,1,2479,RURAL
KYNETON,2736,1902,1,2736,RURAL
LARA,38724,2002,1,38724,URBAN
LARA,40485,2006,1,40485,URBAN
LARA,44088,2010,1,44088,URBAN
LARA,43000,2014,1,43000,URBAN
LARA,47026,2018,1,47026,URBAN
ABBOTSFORD,4462,1908,1,4462,URBAN
LYNDHURST,34760,2002,1,34760,RURAL
LYNDHURST,36605,2006,1,36605,RURAL
LYNDHURST,41578,2010,1,41578,RURAL
MACEDON,39152,2002,1,39152,RURAL
POLWARTH,25017,1976,1,25017,RURAL
MACEDON,42700,2006,1,42700,RURAL
PRAHRAN,29495,1976,1,29495,URBAN
MACEDON,47847,2010,1,47847,RURAL
MACEDON,41580,2014,1,41580,RURAL
RICHMOND,30771,1976,1,30771,URBAN
