DISTRICT,EN,YEAR,SEATS,PROP,Category
BRIGHTON,3766,1902,1,3766,URBAN
CARLTON,3909,1902,1,3909,URBAN
BENNETTSWOOD,31432,1985,1,31432,URBAN
BENNETTSWOOD,31004,1988,1,31004,URBAN
BENNETTSWOOD,33180,1992,1,33180,URBAN
COLLINGWOOD,5469,1902,2,2734.5,URBAN
BENNETTSWOOD,32880,1996,1,32880,URBAN
BENNETTSWOOD,32822,1999,1,32822,URBAN
DAYLESFORD,1883,1902,1,1883,RURAL
BENTLEIGH,26073,1967,1,26073,URBAN
BENTLEIGH,26642,1970,1,26642,URBAN
DUNDAS,2619,1902,1,2619,RURAL
BENTLEIGH,28686,1973,1,28686,URBAN
EAGLEHAWK,2416,1902,1,2416,RURAL
BENTLEIGH,29055,1976,1,29055,URBAN
BENTLEIGH,27913,1979,1,27913,URBAN
BENTLEIGH,27347,1982,1,27347,URBAN
BENTLEIGH,29880,1985,1,29880,URBAN
EVELYN,4044,1902,1,4044,RURAL
FITZROY,7351,1902,2,3675.5,URBAN
BENTLEIGH,28601,1988,1,28601,URBAN
GEELONG,6488,1902,2,3244,METRO
BENTLEIGH,33560,1992,1,33560,URBAN
GIPPSLAND EAST,3000,1902,1,3000,RURAL
GIPPSLAND NORTH,2281,1902,1,2281,RURAL
GIPPSLAND SOUTH,3616,1902,1,3616,RURAL
GIPPSLAND WEST,5050,1902,1,5050,RURAL
BENTLEIGH,33850,1996,1,33850,URBAN
GRENVILLE,4563,1902,2,2281.5,RURAL
GUNBOWER,2628,1902,1,2628,RURAL
HAWTHORN,4272,1902,1,4272,URBAN
BENTLEIGH,34492,1999,1,34492,URBAN
BENTLEIGH,36801,2002,1,36801,URBAN
KARA KARA,2115,1902,1,2115,RURAL
BENTLEIGH,37250,2006,1,37250,URBAN
KORONG,2222,1902,1,2222,RURAL
BENTLEIGH,38715,2010,1,38715,URBAN
LOWAN,2357,1902,1,2357,RURAL
